audit,2007C,2008C,2009C,2010C,2011C,2012C,2013C,2014C,2015C,2016C,2017C
Y,231.9,145.71,135.1,89.81,95.49,99.59,98.99,101.39,88.6,82.49,85.97
Y,93.69,132.43,100.96,71.81,72.03,28.94,34.1,31.88,21.42,8.62,8.81
Y,110.57,132.07,171.28,185.04,235.99,261.86,228.2,215.14,155.89,93.15,77.84
Y,76.58,104.36,76.42,102.41,97.79,248.01,443.46,25.04,27.15,40.66,72.84
Y,14.29,421.33,31.93,53.12,80.71,38.33,19.74,86.18,76.7,57.7,51.44
Y,592.25,383.53,293.8,83.39,97.65,200.95,283.88,0,35.65,109.82,112.18
Y,52.11,73.51,70.76,57.12,81.17,102.07,113.3,117.15,103.8,135.87,92.53
Y,232.24,202.21,142.27,296.33,344.9,223.41,365.51,304.56,179.23,168.57,252.43
Y,368.2,671.5,364.65,250.63,221.42,213.39,301.65,702.84,4012.05,5543.69,301.7
Y,48.61,57.93,47.54,60.44,87.45,85.69,102.18,75.46,116.4,93.56,87.99
Y,49.06,82.91,63.3,87.36,81.56,141.8,122.31,152.35,178.1,157.98,84.89
Y,14.93,13.8,13.91,12.71,16.31,16.35,10.98,15.81,15.62,16.41,22.16
Y,156.45,179.89,199.24,264.81,241.88,185.21,224.9,212.79,190.97,192.52,160.15
Y,17.56,21.98,11.2,7.96,10.83,3.26,30.05,38.18,25.74,9.53,51.53
Y,178.7,148.38,128.1,129.98,195.31,174.46,203.37,184.95,159.04,124.75,125.82
Y,190.65,119.7,101.98,88.81,103.42,84.51,93.05,0.45,0.68,2.78,3.86
Y,168.63,199.08,119.68,120.23,134.22,121.03,112.99,287.69,5.37,9.17,7.24
Y,123.35,84.54,87.59,120.06,178.13,163.58,81.4,78.73,66.06,61.42,62.99
Y,208.1,184.47,189.94,197.77,1488.84,0,260.65,780.86,172.29,165.85,124.23
Y,164.9,199.84,162.36,132.89,167.07,147.95,181.86,196.09,190.13,148.38,154.32
Y,83.49,101.66,114.2,101.63,111.62,115.42,115.41,139.11,154.11,161,160.35
Y,224.03,342.03,417.32,94.27,109.9,165.61,174.95,267.38,357.42,347.04,166.68
Y,275.98,298.99,254.68,163.42,133.76,109.03,75.96,73.62,73.09,62.56,49.65
Y,22.06,38.64,34.58,96.14,89.42,91.08,80.7,112.21,108.6,109.41,61.09
Y,71.55,111.35,55.03,86.85,76.92,63.88,68.54,59.42,51.46,50.01,32.01
Y,665.07,214.6,462.18,278.14,289.63,400.35,451.76,455.08,785.28,461.35,536.42
Y,191.58,180.45,72.99,184.22,49.98,133,221.06,82.27,105.35,46.94,115.77
Y,110.28,186.61,132.78,85.77,116.97,127.38,169.25,167.62,52.88,32.67,38.04
Y,344.45,196.27,231.29,211.25,212.4,218.65,223.6,235.64,276.52,325.65,487.9
Y,182.15,196.65,252.78,301.83,304.13,366.49,375.82,590.29,532.59,455.58,389.82
Y,191.75,181.49,167.42,152.89,147.44,144.79,155.69,153.08,143.54,130.91,108.27
Y,82.12,178.75,110.11,94.73,100.05,120.47,116.45,118.56,150.52,91.84,111.21
Y,37.39,48.03,37.57,71.07,105.26,35.78,103.18,99.4,96.88,68.47,129.12
Y,150.98,187.91,181.73,192.51,78.15,73.44,88.96,102.82,81.14,112.59,192.12
Y,192.24,136.13,138.19,135.9,222.49,284.64,241.14,210.74,63.78,45.48,38.99
N,110.46,54.92,91.76,57.45,30.26,68.17,85.18,81.63,54.33,63.82,82.37
N,232.6,218.26,132.2,151.14,170.35,173.84,172.13,181.04,135.89,139.68,23.1
N,19.53,14.2,10.35,21.64,34.05,29.19,46.81,31.48,29.19,22.74,14.81
N,118.57,255.29,104.94,142.21,118,96.2,106.94,132.84,157.56,167.25,204.76
N,44.23,48.05,66.89,75.5,84.66,70.01,44.79,34.74,39.99,0.87,2.63
N,227.88,438.02,344.35,358.62,364.35,394.05,397.56,403.18,357.12,376.22,407.66
N,26.6,23.81,24.26,21.12,19.24,20.69,20.86,17.84,26.33,28.73,21.44
N,26.81,18.24,25.54,22.3,27.09,32.13,56.63,43.11,42.27,45.88,55.95
N,50.75,87.73,90.59,93.64,96.37,74.34,63.18,70.8,64.24,91,93.58
N,10.28,13.18,9.93,11.84,20.79,31.08,48.69,46.93,40.75,31.78,35.35
N,23.22,21.68,22.08,13.94,38.92,12.57,13.66,12.36,20.36,35.94,46.86
N,27.45,5765.4,494.61,362.51,172.04,108.05,78.19,61.7,45.8,48.45,27.41
N,112.28,179.81,207.15,603.39,497.83,339.14,338.04,242.69,68.25,106.34,48.3
N,43.13,64.55,61.39,67.31,67.79,66.72,71.4,94.82,102.43,124.02,115.85
N,7.08,63.88,20.23,18.84,44.49,40.71,146.19,44.43,11.16,38.46,25.78
N,155.96,108.43,120.5,83.97,56.27,22.59,33.53,36.15,40.85,37.86,36.38
N,87.01,155.4,137.8,59.82,81.9,38.68,16.04,17.61,13.87,6.58,15.85
N,29.44,32.68,2039.16,74.65,84.2,51.55,27.3,32.21,28.82,84.74,55.83
N,188.64,149.13,112.73,142.71,98.6,95.75,91.93,79.7,68.64,76.48,98.34
N,189.2,201.72,142.73,146.64,177.48,165.39,134.94,6.13,16.7,34.24,52.39
N,26.45,32.14,30.78,21.49,27.9,35.68,33.53,47.76,54.92,27.19,15.29
N,176.62,141.85,156.33,166.55,373.05,251.14,261.86,39.65,22.75,98.89,316.14
N,48.48,113.47,52.83,68.7,56.1,61.03,73.23,74,74.59,70.56,67.18
N,12.2,21,40.32,71.55,25.34,57.57,481.3,18.18,22.33,9.42,3.88
N,85.58,115.41,66.2,143.69,80.93,81.85,97.09,83.42,74.63,57.8,36.48
N,64.61,522.16,317.01,262.56,172.26,116.33,98.4,96.35,88.15,77.44,64.08
N,162.87,165.11,56.62,52.08,57.4,52.27,83.26,101.64,71.23,66.72,68.73
N,127.15,99.17,67.09,59.41,126.34,119.36,81.03,53.72,61.39,62.14,54.91
N,79.52,70.46,76.88,71.81,75.84,60.3,60.6,79.02,57.89,76.08,91.71
N,84.4,68.08,81.42,49.94,63.23,61.75,59.99,58.3,43.17,36.97,45.61
N,23.28,63.29,59.41,97.69,62.1,54.1,25.39,31.59,35.72,38.1,66.05
N,22.03,19.86,47.89,3.69,0.08,0.05,0.1,0.11,9.84,10.48,10.12
N,33.12,29.97,27.94,38.5,42.06,33.46,27.29,34.74,50.15,56.48,49.02
N,235.97,262.93,165.46,259.66,325.49,240.46,176.46,151.81,97.75,95.95,96.48
N,27.67,21.61,32.08,28.86,21.71,37.56,16.41,13.18,13.67,15.33,11.8
N,81.72,65.99,80.76,104.59,124.68,103.81,51.41,60.28,72.69,74.26,55.67
N,184.37,245.19,164.03,184.92,1401.47,232.76,214.35,182.97,155.56,148.55,88.95
N,36.55,25.58,23.35,17.88,14.71,15.01,13.65,16.62,36.92,42.03,40.81
N,28.37,49.45,45.55,42.93,40.8,25.49,34.06,28.49,33.68,34.29,29.05
N,6.79,3.91,68.84,31.33,7.45,2.25,2.29,3.49,4.66,6.05,150.02
N,10.3,11.94,15.42,33.86,14.5,17.73,13.43,11.55,13.73,16.91,20.11
N,37.71,32.95,101.37,90.57,95.66,96.25,127.94,82.21,71.15,69.83,56.51
N,91.95,67.24,86.43,96.95,42.91,41.32,49.9,40.61,24.15,17.49,15.86
N,83.76,76.19,77.42,95.11,106.71,139.5,183.19,166.63,188.73,160.46,149.81
N,56.23,47.38,28.79,21.21,24.1,36.32,25.38,28.43,23.84,20.62,16.99
N,32.98,77.38,91.88,66.14,75.14,49.49,36.04,50.62,109.2,155.41,105.2
N,56.68,52.37,48.39,66.61,94.41,159.82,89.75,124.98,121.44,101.22,185.76
N,154.08,153.78,66.19,57.07,57.63,67.34,65.07,65.48,85.07,98.8,65.27
N,27.06,33.9,28.04,26.91,71.44,93.37,84.56,20.18,19.41,72.73,69.48
N,186.9,175,76.99,74.94,52.34,38.41,63.65,21.27,17.74,30.52,42.5
N,77.11,139.25,88.44,109.45,123.54,83.9,87.56,100.08,67.63,40.79,37.66
N,35.59,38.59,102.64,74.38,43.13,63.16,57.69,62.55,60.87,86.11,69.02
N,5634.65,403.74,153.27,174.81,288.5,189.14,128.23,108.86,89.54,94.07,20.38
N,52.45,22.71,10.6,13.7,12.47,13.28,16.75,22.53,23.4,13.83,5.94
N,75.73,71.76,48.78,49.07,63.4,59.35,87.79,78.4,70.99,87.87,67.74
N,15.67,8.46,6.98,12.06,11.38,9.8,9.26,10.14,9.35,9.22,8.91
N,35.52,57.07,35.13,38.9,35.2,34.97,35.08,25.65,14.05,9.66,7.93
N,14.32,33.24,33.66,36.03,40.53,71.23,163.84,163.2,173.18,112.31,133.84
N,1.16,8.36,15.98,13.05,15.56,12.02,8.69,8.95,5.02,49.59,46.85
N,9.09,9.33,7.87,8.17,9.59,6.73,10.11,9.73,14.82,17.1,15.24
N,35.44,22.92,16.37,13.86,94.81,168.1,203.97,183.36,131.68,161.95,163.75
N,176.95,154.42,164.12,136.77,140.78,133.59,128.12,150.78,113.08,148.67,95.77
N,114.14,134.65,125.16,153.95,115.16,149.3,140.56,29.73,46.11,13.81,80.76
N,91.72,104.89,86.64,133.91,269.89,2212.08,1362.71,614.44,296.05,77.93,52.96
