,audit,2015B,2016B,2017B
0,Y,1.46,6.98,0.08
1,Y,3.34,4.32,4.27
2,Y,3.8,3.87,2.85
3,Y,-6.07,-33.4,-27.49
4,Y,-38.24,-57.6,-19.1
5,Y,-36.78,-11.22,-29.1
6,Y,-8.36,-21.41,-17.33
7,Y,4.45,0.28,-7.03
8,Y,-14.16,-19.58,6.03
9,Y,-2.82,3.96,9.98
10,Y,2.25,2.83,3.53
11,Y,6.08,6.48,6.77
12,Y,0.7,2.09,5.85
13,Y,-13.2,9.73,-2.38
14,Y,2.24,-7.45,-33.89
15,Y,4.1,6.98,4.07
16,Y,0.99,9.36,0
17,Y,-0.38,-10.03,-26.4
18,Y,2.8,3.97,1.97
19,Y,0.96,-10.51,3.56
20,Y,-10.73,0.39,1.47
21,Y,1.29,1.13,0.42
22,Y,-10.13,0.61,3.85
23,Y,-9.83,5.08,11.41
24,Y,-0.91,-8.84,10.06
25,Y,3.5,-16.95,-3.01
26,Y,-6.18,6.74,-3.4
27,Y,2.04,1.35,-24.03
28,Y,4.48,15.37,9.69
29,Y,-8,-7.45,-8.24
30,Y,1.76,1.79,4.59
31,Y,2.52,2.57,1.23
32,Y,-7.12,8.22,-9.72
33,Y,-19.21,-9.73,-26.55
34,Y,7.46,1.62,-9.36
35,Y,20.15,2.79,2.31
36,Y,25.4,16.32,12.61
37,N,1.03,0.78,-4.59
38,N,-3.19,2.1,1.25
39,N,15.12,13.22,4.43
40,N,-1.23,-33.27,-12.04
41,N,0.13,-2.03,-2.8
42,N,14.38,13.66,11.37
43,N,2.41,4.95,3.24
44,N,2.8,4.17,9.79
45,N,5.87,3.51,1.5
46,N,10.01,7.95,10.5
47,N,4.5,7.22,7.96
48,N,-2.6,-8.29,4.26
49,N,-2.35,-9.22,-9.69
50,N,-15.53,-14.76,-27.36
51,N,-3.51,3.33,3.02
52,N,4.34,4.78,-0.37
53,N,3.78,-8.92,-11.57
54,N,2.49,0.8,-1.43
55,N,1.54,1.88,0.87
56,N,11.87,5.9,5.6
57,N,-27.13,-45.81,-55.58
58,N,6.3,5.58,2.09
59,N,-34.23,-5.98,-3.26
60,N,-3.7,3.5,1.52
61,N,5.35,8.77,8.9
62,N,3.78,0.88,-0.93
63,N,4.95,5.5,3.08
64,N,-0.86,-20.24,-33.41
65,N,1.51,3.41,4.23
66,N,3.83,7.03,21.27
67,N,8.44,3.94,10
68,N,1.23,0.59,5.95
69,N,-1.17,2.07,-0.95
70,N,-0.75,-18.33,1.97
71,N,6.42,7.92,4.18
72,N,2.93,2.64,1
73,N,6.13,10.66,9.48
74,N,1.47,5.95,5.3
75,N,7.04,3.09,0.87
76,N,2.5,1.47,1.71
77,N,-1.14,1.1,1.49
78,N,1.31,0.82,6.42
79,N,-1.83,-1.88,2.36
80,N,5.18,7.7,9.36
81,N,-31.92,0.33,-85.78
82,N,5.19,-4.02,-29.79
83,N,1.88,3.68,5.11
84,N,-8.16,-32.61,-1.72
85,N,8.21,7.37,7.62
86,N,5.3,3.95,5.27
87,N,4.93,6.62,5.99
88,N,3.48,-0.6,-26.32
89,N,5.87,-6.39,-18.87
90,N,5.46,8.51,9.15
91,N,-2.37,-1.1,4.82
92,N,5.78,7.98,2.17
93,N,-13.87,-0.48,-16.54
94,N,7.85,23.05,1.16
95,N,-7.87,-15.27,2.98
96,N,1.82,3.75,1.76
97,N,2.37,2.29,0.89
98,N,-78.22,-76.83,-17.01
99,N,5.25,-5.49,-3.16
100,N,3.15,-4.31,-16.3
